,MEDIO_PREDOMINANTE,LATITUD_ORIGEN,LATITUD_DESTINO,LONGITUD_ORIGEN,LONGITUD_DESTINO,DIFERENCIA_HORAS,tiempo_recorrido,distancia_km,velocidad km/h
123924,PEATON,4.9191986,5.0252154,-74.0257644,-74.0011074,00:14:00,0.23333333333333334,12.114400517096264,51.91885935898399
123926,PEATON,4.9191986,5.0252154,-74.0257644,-74.0011074,00:14:00,0.23333333333333334,12.114400517096264,51.91885935898399
123959,ESPECIAL,4.9084118,5.0252154,-73.9416075,-74.0011074,01:00:00,1.0,14.5810787377825,14.5810787377825
123963,PEATON,4.5957770646052,5.0252154,-74.073201985576,-74.0011074,10:42:00,10.7,48.46922873761281,4.529834461459141
123973,Transmilenio,4.594066891957747,5.0252154,-74.20699949164901,-74.0011074,02:30:00,2.5,53.152339945578156,21.260935978231263
123975,Transmilenio,4.582388548494756,5.0252154,-74.2163979520372,-74.0011074,02:30:00,2.5,54.77563296599418,21.91025318639767
123983,Transmilenio,4.6295406187768,5.0252154,-74.064909635651,-74.0011074,02:14:00,2.2333333333333334,44.61132111452255,19.97521840948771
123985,INTERMUNICIPAL,4.614902882493,5.0252154,-74.070576176494,-74.0011074,01:53:00,1.8833333333333333,46.32129790797147,24.595379420161844
124055,TPC-SITP,4.9956821,5.0252154,-73.8733368,-74.0011074,01:51:00,1.85,14.545440079022296,7.862400042714754
124081,INTERMUNICIPAL,4.8648572,5.0252154,-74.047458,-74.0011074,01:40:00,1.6666666666666665,18.57642995976313,11.145857975857878
124147,AUTO,4.769121505844,5.0252154,-74.024443852989,-74.0011074,01:39:00,1.65,28.62553570412414,17.348809517650995
124511,PEATON,4.59121471721,5.0252154,-74.0726657126,-74.0011074,10:48:00,10.8,48.960542991273684,4.533383610303119
124513,PEATON,4.59121471721,5.0252154,-74.0726657126,-74.0011074,10:48:00,10.8,48.960542991273684,4.533383610303119
124515,PEATON,4.59121471721,5.0252154,-74.0726657126,-74.0011074,10:48:00,10.8,48.960542991273684,4.533383610303119
124522,TAXI,4.9191986,5.0252154,-74.0257644,-74.0011074,00:16:00,0.26666666666666666,12.114400517096264,45.42900193911099
124524,MOTO,4.9191986,5.0252154,-74.0257644,-74.0011074,01:00:00,1.0,12.114400517096264,12.114400517096264
124528,INTERMUNICIPAL,4.9191986,5.0252154,-74.0257644,-74.0011074,00:30:00,0.5,12.114400517096264,24.22880103419253
124530,TPC-SITP,4.9191986,5.0252154,-74.0257644,-74.0011074,01:43:00,1.7166666666666668,12.114400517096264,7.0569323400560755
124532,PEATON,4.9191986,5.0252154,-74.0257644,-74.0011074,02:25:00,2.4166666666666665,12.114400517096264,5.012855386384661
124534,"BICICLETA, BICICLETA CON MOTOR",4.9191986,5.0252154,-74.0257644,-74.0011074,01:48:00,1.8,12.114400517096264,6.730222509497924
